Month,Division,Campus,Service Line,Room Type,Occ Units,Available Units/Beds,OCC%
1/31/2026,Central Ohio,Greenville - 423,AL,Companion,0,0,0%
1/31/2026,Central Ohio,Greenville - 423,AL/MC,MC - Compan;A Vw;B Loc;B Sz,0,0,0%
1/31/2026,Central Ohio,Greenville - 423,AL/MC,MC - Compan;B Vw;B Loc;B Sz,0,0,0%
1/31/2026,Central Ohio,Greenville - 423,HC,Companion,0,0,0%
1/31/2026,Central Ohio,Greenville - 423,HC,Private,0,0,0%
1/31/2026,Central Ohio,Greenville - 423,HC/MC,Legacy Lane - Companion,0,0,0%
1/31/2026,Central Ohio,Greenville - 423,HC/MC,Legacy Lane - Private,0,0,0%
1/31/2026,Central Ohio,Springfield FG - 401,AL,Companion,0,0,0%
1/31/2026,Central Ohio,Springfield FG - 401,AL,Companion - Single,0,0,0%
1/31/2026,Central Ohio,Springfield FG - 401,AL,One Bedroom,0,0,0%
1/31/2026,Central Ohio,Springfield FG - 401,AL,Studio - Double,0,0,0%
1/31/2026,Central Ohio,Springfield FG - 401,AL/MC,Legacy Bldng - Companion,0,0,0%
1/31/2026,Central Ohio,Springfield FG - 401,AL/MC,Legacy Bldng - Private,0,1,0%
1/31/2026,Central Ohio,Springfield FG - 401,HC,Companion,0,0,0%
1/31/2026,Central Ohio,Springfield FG - 401,HC,Private,0,0,0%
1/31/2026,Central Ohio,Springfield FG - 401,VIL,Independent Living - Villa 1,0,0,0%
1/31/2026,Central South Indiana,Avon - 5166,AL,Companion,1,1,100%
1/31/2026,Central South Indiana,Avon - 5166,AL,One BR Apt-Double,4.2,5,84%
1/31/2026,Central South Indiana,Avon - 5166,AL,One BR Apt-Single,2,2,100%
1/31/2026,Central South Indiana,Avon - 5166,AL,Studio - Private,16.8,18,94%
1/31/2026,Central South Indiana,Avon - 5166,AL,Studio Deluxe - Double,3.2,4,79%
1/31/2026,Central South Indiana,Avon - 5166,AL/MC,Legacy Lane - Companion,0,1,0%
1/31/2026,Central South Indiana,Avon - 5166,AL/MC,Legacy Lane - Private,8.7,12,73%
1/31/2026,Central South Indiana,Avon - 5166,HC,Companion,18.7,22,85%
1/31/2026,Central South Indiana,Avon - 5166,HC,Private,30,32,94%
1/31/2026,Central South Indiana,Carmel - 5165,AL,1BR Deluxe,4,4,100%
1/31/2026,Central South Indiana,Carmel - 5165,AL,1BR;B Vw;B Loc;A Sz,4.2,5,83%
1/31/2026,Central South Indiana,Carmel - 5165,AL,1BR;B Vw;B Loc;C Sz,5,5,100%
1/31/2026,Central South Indiana,Carmel - 5165,AL,Companion,0,0,0%
1/31/2026,Central South Indiana,Carmel - 5165,AL,One BR Apt-Double,0,0,0%
1/31/2026,Central South Indiana,Carmel - 5165,AL,Studio; B Vw:B Loc; C Sz,4.2,5,84%
1/31/2026,Central South Indiana,Carmel - 5165,AL,Studio;B Vw;B Loc;A Sz,1,1,100%
1/31/2026,Central South Indiana,Carmel - 5165,AL/MC,Legacy Lane - Companion,2,2,100%
1/31/2026,Central South Indiana,Carmel - 5165,AL/MC,Legacy Lane - Private,8,11,73%
1/31/2026,Central South Indiana,Carmel - 5165,HC,Companion,22.5,25,90%
1/31/2026,Central South Indiana,Carmel - 5165,HC,Private,28.6,32,90%
1/31/2026,Central South Indiana,Carmel - 5165,HC,Studio Deluxe,3.5,4,89%
1/31/2026,Central South Indiana,Greenfield - 125,AL,Companion,7,7,100%
1/31/2026,Central South Indiana,Greenfield - 125,AL,One Bedroom,1,1,100%
1/31/2026,Central South Indiana,Greenfield - 125,AL,Studio - Double,7.8,9,87%
1/31/2026,Central South Indiana,Greenfield - 125,AL,Studio - Private,16.7,17,98%
1/31/2026,Central South Indiana,Greenfield - 125,AL/MC,Legacy Bldng - Companion,4.9,6,81%
1/31/2026,Central South Indiana,Greenfield - 125,AL/MC,Legacy Bldng - Private,16.7,19,88%
1/31/2026,Central South Indiana,Greenfield - 125,AL/MC,Legacy Bldng - Private Inter View,2.9,4,73%
1/31/2026,Central South Indiana,Greenfield - 125,HC,Companion,40.4,45,90%
1/31/2026,Central South Indiana,Greenfield - 125,HC,Private,18,21,86%
1/31/2026,Central South Indiana,Greenfield - 125,HC,Private Deluxe,0,0,0%
1/31/2026,Central South Indiana,Greenfield - 125,VIL,Independent Living - Villa 1,24,24,100%
1/31/2026,Central South Indiana,Indianapolis AP - 5160,AL,Studio - Companion,6,10,60%
1/31/2026,Central South Indiana,Indianapolis AP - 5160,AL,Studio - Private,4.3,6,71%
1/31/2026,Central South Indiana,Indianapolis AP - 5160,HC,Companion,24.6,28,88%
1/31/2026,Central South Indiana,Indianapolis AP - 5160,HC,Private,46,56,82%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,AL,One Bedroom,3,4,74%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,AL,Studio - Companion,8.2,10,82%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,AL,Studio - Companion Deluxe,1,1,100%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,AL,Studio - End of Hall,3,4,75%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,AL,Studio - Private,6.1,8,76%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,AL,Studio - Private Deluxe,3,3,100%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,AL/MC,Legacy Lane - Companion,2,2,100%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,AL/MC,Legacy Lane - Private,8.8,9,98%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,HC,Companion,10,14,72%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,HC,Private,34.6,43,81%
1/31/2026,Central South Indiana,Mooresville - 5174,AL,1 Bedroom,0,0,0%
1/31/2026,Central South Indiana,Mooresville - 5174,AL,Studio - Double,0,0,0%
1/31/2026,Central South Indiana,Mooresville - 5174,AL,Studio - Private,15,15,100%
1/31/2026,Central South Indiana,Mooresville - 5174,HC,Companion,16.9,19,89%
1/31/2026,Central South Indiana,Mooresville - 5174,HC,Private,30.6,32,96%
1/31/2026,Central South Indiana,New Castle GO - 2153,AL,Companion,1,4,25%
1/31/2026,Central South Indiana,New Castle GO - 2153,AL,Studio - Private,14.9,18,83%
1/31/2026,Central South Indiana,New Castle GO - 2153,AL/MC,Legacy Lane - Companion,2,2,100%
1/31/2026,Central South Indiana,New Castle GO - 2153,AL/MC,Legacy Lane - Private,7.9,9,87%
1/31/2026,Central South Indiana,New Castle GO - 2153,HC,Companion,47.2,53,89%
1/31/2026,Central South Indiana,New Castle GO - 2153,HC,Private,4.5,5,90%
