TrilogyCampusName,ID,Provider Number,loc_code,CompetitorFacilityName,OwnerOperator,Address,City,State,Zip,Latitude,Longitude,GCAccuracy,ServiceLines,HC,AL,MC,IL,SMC,HC_DateOfRoomRates,HC_DateOfNextIncrease,HC_ExpectedRateIncrease,HC_PrivateRoomRate,HC_PrivateDeluxeRoomRate,HC_CompanionSemiPrivateRoomRate,HC_2ndPersonFee,HC_AdultDayRoomRate,HC_AdultNightRoomRate,HC_RehabToHomeRate,AL_DateOfRoomRates,AL_DateOfNextIncrease,AL_ExpectedRateIncrease,AL_StudioPrivateRoomRate,AL_StudioDeluxePrivateRoomRate,AL_1BRPrivateRoomRate,AL_2BRPrivateRoomRate,AL_StudioCompanionRoomRate,AL_1BRCompanionRoomRate,AL_2BRCompanionRoomRate,AL_2ndPersonFee,AL_AdultDayRoomRate,AL_AdultNightRoomRate,MC_DateOfRoomRates,MC_DateOfNextIncrease,MC_ExpectedRateIncrease,MC_ALStudioRoomRate,MC_ALCompanionRoomRate,MC_HCStudioRoomRate,MC_HCCompanionRoomRate,MC_2ndPersonFee,MC_AdultDayRoomRate,MC_AdultNightRoomRate,IL_DateOfRoomRates,IL_DateOfNextIncrease,IL_ExpectedRateIncrease,IL_VillaStudioPrivateRoomRate,IL_Villa1BRPrivateRoomRate,IL_Villa2BRPrivateRoomRate,IL_VillaStudioCompanionRoomRate,IL_Villa1BRCompanionRoomRate,IL_Villa2BRCompanionRoomRate,IL_Villa2ndPersonFee,IL_ILStudioRoomRate,IL_IL1BRRoomRate,IL_IL2BRRoomRate,IL_ILStudioCompanionRoomRate,IL_IL1BRCompanionRoomRate,IL_IL2BRCompanionRoomRate,IL_IL2ndPersonFee,IL_ILAdultDayRoomRate,IL_ILAdultNightRoomRate,SMC_DateOfRoomRates,SMC_DateOfNextIncrease,SMC_ExpectedRateIncrease,SMC_PrivateRoomRate,SMC_PrivateDeluxeRoomRate,SMC_CompanionRoomRate,SMC_2ndPersonFee,HC_Level1,HC_Level2,HC_Level3,HC_Level4,HC_CareLevelAdjustment,AL_Level1,AL_Level2,AL_Level3,AL_Level4,AL_Level5,AL_Level6,AL_CareLevelAdjustment,MC_Level1,MC_Level2,MC_Level3,MC_Level4,MC_Level5,MC_Level6,MC_CareLevelAdjustment,SMC_Level1,SMC_Level2,SMC_Level3,SMC_Level4,SMC_CareLevelAdjustment,HC_MedicationManagement,AL_CommunityFee,AL_DepositAmount,AL_MedicationManagement,MC_CommunityFee,MC_DepositAmount,MC_MedicationManagement,IL_CommunityFee,IL_DepositAmount,IL_MedicationManagement,SMC_MedicationManagement,IL_Comp_Weight,IL_Comp_Care_Adj,IL_Comp_Other_Adj,AL_Comp_Weight,AL_Comp_Care_Adj,AL_Comp_Other_Adj,AL/MC_Comp_Weight,AL/MC_Comp_Care_Adj,AL/MC_Comp_Other_Adj,HC_Comp_Weight,HC_Comp_Care_Adj,HC_Comp_Other_Adj,HC/MC_Comp_Weight,HC/MC_Comp_Care_Adj,HC/MC_Comp_Other_Adj,Origin,Destination,DrivingTime
Bardstown - 233,5139,185422,233,Flaget Memorial Hospital Nf,,4305 New Shepherdsville Rd,Bardstown,KY,40004,37.862561,-85.526793,address,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"37.826903,-85.478610","37.862561,-85.526793",6 mins
Bardstown - 233,5057,185297,233,Sansbury Care Center,,2625 Bardstown Rd,St. Catharine,KY,40061,37.711188,-85.262187,street,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"37.826903,-85.478610","37.711188,-85.262187",25 mins
Bardstown - 233,5079,185327,233,Signature Healthcare Of Spencer County,,625 Taylorsville Road,Taylorsville,KY,40071,38.041713,-85.342249,ROOFTOP,HC,True,False,False,False,False,2023-08-09,2024-01-01,,372,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"37.826903,-85.478610","38.041713,-85.342249",34 mins
Bardstown - 233,5161,185457,233,Windsor Gardens,,101 Isaac Greer Court,Bardstown,KY,40004,37.825774,-85.475233,address,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"37.826903,-85.478610","37.825774,-85.475233",2 mins
Bardstown - 233,4948,185149,233,Bardstown Healthcare And Rehabilitation Center,,120 Life Care Center Way,Bardstown,KY,40004,37.806436,-85.452436,address,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"37.826903,-85.478610","37.806436,-85.452436",7 mins
Springfield FG - 401,10125,365829,401,Villa Springfield,Crowne Healthcare,701 Villa Road,Springfield,OH,45503,39.966039,-83.790624,ROOFTOP,"HC, Skilled-M",True,False,False,False,True,2025-06-25,,,303,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-25,,,303,,287,,,,,,,,,,,,,,,,,,,,,,,,,,included,,,,,,,,,,included,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,"39.982022,-83.761146","39.966039,-83.790624",6 mins
Springfield FG - 401,9894,365527,401,Arbors At Springfield,,1600 St Paris Park,Springfield,OH,45504,39.957245,-83.826216,street,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.982022,-83.761146","39.957245,-83.826216",11 mins
Springfield FG - 401,9901,365538,401,Friends Extended Care Center,,150 Herman St,Yellow Springs,OH,45387,39.79659,-83.89453,address,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.982022,-83.761146","39.796590,-83.894530",23 mins
Springfield FG - 401,10353,366151,401,Dayspring Of Miami Valley Hlth Care Center & Rehab,,8001 Dayton Springfield Rd,Fairborn,OH,45324,39.86011,-83.96557,address,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.982022,-83.761146","39.860110,-83.965570",21 mins
Springfield FG - 401,9782,365362,401,Green Hills Center,,6557 Us Route 68 S,West Liberty,OH,43357,40.269689,-83.756861,address,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.982022,-83.761146","40.269689,-83.756861",33 mins
Springfield FG - 401,9785,365365,401,Trustwell Living of Urbana,,741 East Water Street,Urbana,OH,43078,40.103943,-83.736471,ROOFTOP,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.982022,-83.761146","40.103943,-83.736471",15 mins
Springfield FG - 401,9713,365241,401,London Health & Rehab Center,,218 Elm St,London,OH,43140,39.897679,-83.446893,address,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.982022,-83.761146","39.897679,-83.446893",31 mins
Springfield FG - 401,9886,365514,401,Allenview,Communicare,2615 Derr Road,Springfield,OH,45503,39.95739,-83.786916,ROOFTOP,HC,True,False,False,False,False,2022-08-02,2021-01-01,,307,355,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,included,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.982022,-83.761146","39.957390,-83.786916",7 mins
Springfield FG - 401,9889,365519,401,Belle Manor Nursing Home,,107 N Pike St,New Carlisle,OH,45344,39.937211,-84.02392,address,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.982022,-83.761146","39.937211,-84.023920",24 mins
