FacilityName,FacilityCustomerID,BedTypeDescription,LevelofCare,RoomChargeDescription,BasePriceBeginDate,BasePrice,BasePriceChargeBy,PayerBeginDate,PayerName,PayerChargeBy,Proration,RevenueCode,AllowableCharge,AllowablePercent,HospBedHoldRate,HospBedHoldPercent,TherBedHoldRate,TherBedHoldPercent,RevenueAccount,ContractualAccount,CopayContractualAccount
Cypress Pointe Health Campus HC,~14-0416-HC,Companion,BASE RATE - INTERMED - ACTIVE,ROOM CHARGE,5/1/2025,399,Daily,5/1/2025,Hospice Private,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Cypress Pointe Health Campus HC,~14-0416-HC,Companion,BASE RATE - INTERMED - ACTIVE,ROOM CHARGE,5/1/2025,399,Daily,5/1/2025,Private HCC,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Cypress Pointe Health Campus HC,~14-0416-HC,Companion,BASE RATE - SKILLED - ACTIVE,ROOM CHARGE,5/1/2025,399,Daily,5/1/2025,Hospice Private,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Cypress Pointe Health Campus HC,~14-0416-HC,Companion,BASE RATE - SKILLED - ACTIVE,ROOM CHARGE,5/1/2025,399,Daily,5/1/2025,Private HCC,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Cypress Pointe Health Campus HC,~14-0416-HC,Private,BASE RATE - INTERMED - ACTIVE,ROOM CHARGE,5/1/2025,439,Daily,5/1/2025,Hospice Private,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Cypress Pointe Health Campus HC,~14-0416-HC,Private,BASE RATE - INTERMED - ACTIVE,ROOM CHARGE,5/1/2025,439,Daily,5/1/2025,Private HCC,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Cypress Pointe Health Campus HC,~14-0416-HC,Private,BASE RATE - SKILLED - ACTIVE,ROOM CHARGE,5/1/2025,439,Daily,5/1/2025,Hospice Private,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Cypress Pointe Health Campus HC,~14-0416-HC,Private,BASE RATE - SKILLED - ACTIVE,ROOM CHARGE,5/1/2025,439,Daily,5/1/2025,Private HCC,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Gateway Springs Health Campus HC,~14-0439-HC,Studio Dlx;A Vw;B Loc;B Sz,BASE RATE - INTERMED - ACTIVE,ROOM CHARGE,5/1/2025,419,Daily,5/1/2025,Hospice Private,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Gateway Springs Health Campus HC,~14-0439-HC,Studio Dlx;A Vw;B Loc;B Sz,BASE RATE - INTERMED - ACTIVE,ROOM CHARGE,5/1/2025,419,Daily,5/1/2025,Private HCC,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Gateway Springs Health Campus HC,~14-0439-HC,Studio Dlx;A Vw;B Loc;B Sz,BASE RATE - SKILLED - ACTIVE,ROOM CHARGE,5/1/2025,419,Daily,5/1/2025,Hospice Private,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Gateway Springs Health Campus HC,~14-0439-HC,Studio Dlx;A Vw;B Loc;B Sz,BASE RATE - SKILLED - ACTIVE,ROOM CHARGE,5/1/2025,419,Daily,5/1/2025,Private HCC,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Gateway Springs Health Campus HC,~14-0439-HC,Studio Dlx;C Vw;A Loc;B Sz,BASE RATE - INTERMED - ACTIVE,ROOM CHARGE,5/1/2025,419,Daily,5/1/2025,Hospice Private,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Gateway Springs Health Campus HC,~14-0439-HC,Studio Dlx;C Vw;A Loc;B Sz,BASE RATE - INTERMED - ACTIVE,ROOM CHARGE,5/1/2025,419,Daily,5/1/2025,Private HCC,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Gateway Springs Health Campus HC,~14-0439-HC,Studio Dlx;C Vw;A Loc;B Sz,BASE RATE - SKILLED - ACTIVE,ROOM CHARGE,5/1/2025,419,Daily,5/1/2025,Hospice Private,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Gateway Springs Health Campus HC,~14-0439-HC,Studio Dlx;C Vw;A Loc;B Sz,BASE RATE - SKILLED - ACTIVE,ROOM CHARGE,5/1/2025,419,Daily,5/1/2025,Private HCC,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Glen Ridge Health Campus HC,~14-0126-HC,Companion,BASE RATE - INTERMED - ACTIVE,ROOM CHARGE,5/1/2025,389,Daily,5/1/2025,Hospice Private,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Glen Ridge Health Campus HC,~14-0126-HC,Companion,BASE RATE - INTERMED - ACTIVE,ROOM CHARGE,5/1/2025,389,Daily,5/1/2025,Private HCC,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Glen Ridge Health Campus HC,~14-0126-HC,Companion,BASE RATE - SKILLED - ACTIVE,ROOM CHARGE,5/1/2025,389,Daily,5/1/2025,Hospice Private,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Glen Ridge Health Campus HC,~14-0126-HC,Companion,BASE RATE - SKILLED - ACTIVE,ROOM CHARGE,5/1/2025,389,Daily,5/1/2025,Private HCC,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Glen Ridge Health Campus HC,~14-0126-HC,MC - COMPANION,BASE RATE - INTERMED - ACTIVE,ROOM CHARGE,5/1/2025,409,Daily,5/1/2025,Hospice Private,Daily,None,,0,100,0,100,0,100,~C02-41013,~C02-41013,~C02-41013
Glen Ridge Health Campus HC,~14-0126-HC,MC - COMPANION,BASE RATE - INTERMED - ACTIVE,ROOM CHARGE,5/1/2025,409,Daily,5/1/2025,Private HCC,Daily,None,,0,100,0,100,0,100,~C02-41013,~C02-41013,~C02-41013
Glen Ridge Health Campus HC,~14-0126-HC,MC - COMPANION,BASE RATE - SKILLED - ACTIVE,ROOM CHARGE,5/1/2025,409,Daily,5/1/2025,Hospice Private,Daily,None,,0,100,0,100,0,100,~C02-41013,~C02-41013,~C02-41013
Glen Ridge Health Campus HC,~14-0126-HC,MC - COMPANION,BASE RATE - SKILLED - ACTIVE,ROOM CHARGE,5/1/2025,409,Daily,5/1/2025,Private HCC,Daily,None,,0,100,0,100,0,100,~C02-41013,~C02-41013,~C02-41013
Greenleaf Health Campus HC,~18-0132-HC,Companion,BASE RATE - INTERMED - ACTIVE,ROOM CHARGE,5/1/2025,359,Daily,5/1/2025,Hospice Private,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Greenleaf Health Campus HC,~18-0132-HC,Companion,BASE RATE - INTERMED - ACTIVE,ROOM CHARGE,5/1/2025,359,Daily,5/1/2025,Private HCC,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Greenleaf Health Campus HC,~18-0132-HC,Companion,BASE RATE - SKILLED - ACTIVE,ROOM CHARGE,5/1/2025,359,Daily,5/1/2025,Hospice Private,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Greenleaf Health Campus HC,~18-0132-HC,Companion,BASE RATE - SKILLED - ACTIVE,ROOM CHARGE,5/1/2025,359,Daily,5/1/2025,Private HCC,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Mill Pond Health Campus HC,~18-0119-HC,Private,BASE RATE - INTERMED - ACTIVE,Room Charge,5/1/2025,309,Daily,5/1/2025,Hospice Private,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Mill Pond Health Campus HC,~18-0119-HC,Private,BASE RATE - INTERMED - ACTIVE,Room Charge,5/1/2025,309,Daily,5/1/2025,Private HCC,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
Mill Pond Health Campus HC,~18-0119-HC,Private,BASE RATE - SKILLED - ACTIVE,Room Charge,5/1/2025,309,Daily,5/1/2025,Hospice Private,Daily,None,,0,100,0,100,0,100,~C01-41010,~C01-41010,~C01-41010
