Facility Name,BeginDate,EndDate,PayerName,Proration,SpclRate,Amount,Pct,Monthly,HospHold,HospHoldAmount,HospPct,HospHoldMonthly,TherLv,TherLvHoldAmount,TherLvPct,TherLvHoldMonthly,
Amber Manor Care Center AL,1/1/2026,12/31/2026,Private AL,2,1,5432,0,1,1,5432,0,1,1,5432,0,1,
Amber Manor Care Center AL,1/1/2025,12/31/2025,Private AL,2,1,5173,0,1,1,5173,0,1,1,5173,0,1,
Amber Manor Care Center AL,1/1/2026,12/31/2026,Private AL,2,1,5157,0,1,1,5157,0,1,1,5157,0,1,
Amber Manor Care Center AL,1/1/2025,12/31/2025,Private AL,2,1,4731,0,1,1,4731,0,1,1,4731,0,1,
Amber Manor Care Center AL,1/1/2025,12/31/2025,Private AL,2,1,5169,0,1,1,5169,0,1,1,5169,0,1,
Amber Manor Care Center AL,1/1/2026,12/31/2026,Private AL,2,1,5299,0,1,1,5299,0,1,1,5299,0,1,
Amber Manor Care Center AL,10/1/2025,12/31/2025,Private AL,2,1,4999,0,1,1,4999,0,1,1,4999,0,1,
Amber Manor Care Center AL,2/18/2025,12/31/2025,Hospice Private,2,1,4809,0,1,1,4809,0,1,1,4809,0,1,
Amber Manor Care Center AL,1/1/2026,12/31/2026,Private AL,2,1,1271,0,1,1,1271,0,1,1,1271,0,1,
Amber Manor Care Center AL,10/1/2025,12/31/2025,Private AL,2,1,1199,0,1,1,1199,0,1,1,1199,0,1,
Amber Manor Care Center AL,1/1/2026,12/31/2026,Private AL,2,1,6359,0,1,1,6359,0,1,1,6359,0,1,
Amber Manor Care Center AL,10/1/2025,12/31/2025,Private AL,2,1,5999,0,1,1,5999,0,1,1,5999,0,1,
Amber Manor Care Center AL,1/1/2026,12/31/2026,Private AL,2,1,5374,0,1,1,5374,0,1,1,5374,0,1,
Amber Manor Care Center AL,1/1/2025,12/31/2025,Private AL,2,1,5118,0,1,1,5118,0,1,1,5118,0,1,
Amber Manor Care Center AL,1/1/2026,12/31/2026,Private AL,2,1,5499,0,1,1,5499,0,1,1,5499,0,1,
Amber Manor Care Center AL,1/1/2025,12/31/2025,Private AL,2,1,5237,0,1,1,5237,0,1,1,5237,0,1,
Amber Manor Care Center AL,1/1/2026,12/31/2026,Private AL,2,1,5299,0,1,1,5299,0,1,1,5299,0,1,
Amber Manor Care Center AL,10/1/2025,12/31/2025,Private AL,2,1,4999,0,1,1,4999,0,1,1,4999,0,1,
Amber Manor Care Center AL,1/1/2026,12/31/2026,Private AL,2,1,5374,0,1,1,5374,0,1,1,5374,0,1,
Amber Manor Care Center AL,1/1/2025,12/31/2025,Private AL,2,1,5118,0,1,1,5118,0,1,1,5118,0,1,
Amber Manor Care Center AL,1/1/2026,12/31/2026,Private AL,2,1,5432,0,1,1,5432,0,1,1,5432,0,1,
Amber Manor Care Center AL,1/1/2025,12/31/2025,Private AL,2,1,5173,0,1,1,5173,0,1,1,5173,0,1,
Amber Manor Care Center AL,1/1/2026,12/31/2026,Private AL,2,1,5299,0,1,1,5299,0,1,1,5299,0,1,
Amber Manor Care Center AL,10/1/2025,12/31/2025,Private AL,2,1,4999,0,1,1,4999,0,1,1,4999,0,1,
Amber Manor Care Center HC,12/20/2017,,Medicare A Replacement,0,1,306,0,0,0,0,0,0,0,0,0,0,
Amber Manor Care Center HC,6/14/2018,,Medicare A Replacement,0,1,300,0,0,0,0,0,0,0,0,0,0,
Amber Manor Care Center HC,8/24/2018,,Insurance Per Diem,0,1,300,0,0,0,0,0,0,0,0,0,0,
Amber Manor Care Center HC,1/1/2026,12/31/2026,Private HCC,1,1,306,0,0,1,306,0,0,1,306,0,0,
Amber Manor Care Center HC,10/1/2025,12/31/2025,Private HCC,1,1,289,0,0,1,289,0,0,1,289,0,0,
Amber Manor Care Center HC,5/9/2019,,Medicare A Replacement,0,1,306,0,0,0,0,0,0,0,0,0,0,
Amber Manor Care Center HC,1/1/2026,12/31/2026,Private HCC,1,1,275,0,0,1,275,0,0,1,275,0,0,
Amber Manor Care Center HC,10/1/2025,12/31/2025,Private HCC,1,1,259,0,0,1,259,0,0,1,259,0,0,
Amber Manor Care Center HC,9/25/2015,,Insurance Per Diem,0,1,547.78,0,0,0,0,0,0,0,0,0,0,
Amber Manor Care Center HC,1/1/2026,12/31/2026,Hospice Private,1,1,275,0,0,1,275,0,0,1,275,0,0,
Amber Manor Care Center HC,10/1/2025,12/31/2025,Hospice Private,1,1,259,0,0,1,259,0,0,1,259,0,0,
Amber Manor Care Center HC,1/1/2026,12/31/2026,Hospice Private,1,1,306,0,0,1,306,0,0,1,306,0,0,
Amber Manor Care Center HC,10/1/2025,12/31/2025,Hospice Private,1,1,289,0,0,1,289,0,0,1,289,0,0,
Amber Manor Care Center HC,1/1/2026,12/31/2026,Hospice Private,1,1,306,0,0,1,306,0,0,1,306,0,0,
Amber Manor Care Center HC,10/1/2025,12/31/2025,Hospice Private,1,1,289,0,0,1,289,0,0,1,289,0,0,
Amber Manor Care Center HC,6/6/2018,,Insurance Per Diem,0,1,300,0,0,0,0,0,0,0,0,0,0,
Amber Manor Care Center HC,8/9/2018,,Medicare A Replacement,0,1,306,0,0,0,0,0,0,0,0,0,0,
Amber Manor Care Center HC,2/15/2018,,MSP-Medicare A,0,1,300,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,2393,0,1,1,2393,0,1,1,2393,0,1,
Arlington Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,2543,0,1,1,2543,0,1,1,2543,0,1,
Arlington Place Health Campus AL,10/1/2025,12/31/2025,Private AL,2,1,2399,0,1,1,2399,0,1,1,2399,0,1,
Arlington Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,2543,0,1,1,2543,0,1,1,2543,0,1,
Arlington Place Health Campus AL,10/1/2025,12/31/2025,Private AL,2,1,2399,0,1,1,2399,0,1,1,2399,0,1,
Arlington Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,4621,0,1,1,4621,0,1,1,4621,0,1,
Arlington Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,4401,0,1,1,4401,0,1,1,4401,0,1,
Arlington Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,508,0,1,1,508,0,1,1,508,0,1,
Arlington Place Health Campus AL,10/1/2025,12/31/2025,Private AL,2,1,479,0,1,1,479,0,1,1,479,0,1,
Arlington Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,2561,0,1,1,2561,0,1,1,2561,0,1,
Arlington Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,2393,0,1,1,2393,0,1,1,2393,0,1,
Arlington Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,2393,0,1,1,2393,0,1,1,2393,0,1,
Arlington Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,4621,0,1,1,4621,0,1,1,4621,0,1,
Arlington Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,4401,0,1,1,4401,0,1,1,4401,0,1,
Arlington Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,4621,0,1,1,4621,0,1,1,4621,0,1,
Arlington Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,4401,0,1,1,4401,0,1,1,4401,0,1,
Arlington Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,2393,0,1,1,2393,0,1,1,2393,0,1,
Arlington Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,2543,0,1,1,2543,0,1,1,2543,0,1,
