PKDate1,DisplayDept,DisplayPayer,BudgetResidentCensus,ActualResidentCensus,Textbox5,AvailableBeds,AvailableUnits,Budgeted_Occupied_Units,Units_Beds_Occupied,Unit_Bed_Vacancy,ADC,PADC,MTD_MCAdmits,MTD_MCDisch,Prior_MCAdmits,Prior_MCDisch,Licenensed_Beds_Units12,Unlicenensed_Beds_Units8,BudgetResidentCensus1,ActualResidentCensus1,Textbox29,AvailableBeds1,AvailableUnits1,Budgeted_Occupied_Units1,Units_Beds_Occupied1,Unit_Bed_Vacancy1,Textbox98,Textbox101,ADC1,PADC1,MTD_MCAdmits1,MTD_MCDisch1,Prior_MCAdmits1,Prior_MCDisch1,Licenensed_Beds_Units13,Unlicenensed_Beds_Units18,Textbox106,ActualResidentCensus2,Textbox108,AvailableBeds2,AvailableUnits2,Budgeted_Occupied_Units2,Units_Beds_Occupied2,Unit_Bed_Vacancy2,Textbox105,Textbox115,ADC2,PADC2,MTD_MCAdmits2,MTD_MCDisch2,Prior_MCAdmits2,Prior_MCDisch2,Licenensed_Beds_Units14,Unlicenensed_Beds_Units19
07/31/2026,01-HC,PRIVATE PAY,"1,348","1,389",41,"7,709",0,"6,969","1,389",0,"1,371","1,372",87,217,163,463,"1,389",0,"6,969","6,936",(33),"7,709",0,"6,969","6,936",770,90.40%,89.97%,"6,935","6,918","1,912","1,882","4,020","3,947","7,706",0,"14,239","14,217",(22),"8,175","7,144","13,944","13,858","1,420",91.03%,90.46%,"14,225","14,171","2,180","2,123","4,578","4,457","14,582","1,114"
07/31/2026,01-HC,HOSPICE,370,340,(30),0,0,0,340,0,335,340,6,31,8,60,340,0,"6,969","6,936",(33),"7,709",0,"6,969","6,936",770,90.40%,89.97%,"6,935","6,918","1,912","1,882","4,020","3,947","7,706",0,"14,239","14,217",(22),"8,175","7,144","13,944","13,858","1,420",91.03%,90.46%,"14,225","14,171","2,180","2,123","4,578","4,457","14,582","1,114"
07/31/2026,01-HC,MANAGED CARE,27,61,34,0,0,0,61,0,58,59,66,64,153,128,61,0,"6,969","6,936",(33),"7,709",0,"6,969","6,936",770,90.40%,89.97%,"6,935","6,918","1,912","1,882","4,020","3,947","7,706",0,"14,239","14,217",(22),"8,175","7,144","13,944","13,858","1,420",91.03%,90.46%,"14,225","14,171","2,180","2,123","4,578","4,457","14,582","1,114"
07/31/2026,01-HC,MEDICARE,"1,502","1,335",(167),0,0,0,"1,335",0,"1,375","1,354",853,665,"1,608","1,455","1,335",0,"6,969","6,936",(33),"7,709",0,"6,969","6,936",770,90.40%,89.97%,"6,935","6,918","1,912","1,882","4,020","3,947","7,706",0,"14,239","14,217",(22),"8,175","7,144","13,944","13,858","1,420",91.03%,90.46%,"14,225","14,171","2,180","2,123","4,578","4,457","14,582","1,114"
07/31/2026,01-HC,MEDICARE ADVANTAGE,"1,022","1,138",116,0,0,0,"1,138",0,"1,094","1,094",818,803,"1,936","1,617","1,138",0,"6,969","6,936",(33),"7,709",0,"6,969","6,936",770,90.40%,89.97%,"6,935","6,918","1,912","1,882","4,020","3,947","7,706",0,"14,239","14,217",(22),"8,175","7,144","13,944","13,858","1,420",91.03%,90.46%,"14,225","14,171","2,180","2,123","4,578","4,457","14,582","1,114"
07/31/2026,01-HC,MEDICAID,"2,689","2,641",(48),0,0,0,"2,641",0,"2,652","2,654",73,80,137,177,"2,641",0,"6,969","6,936",(33),"7,709",0,"6,969","6,936",770,90.40%,89.97%,"6,935","6,918","1,912","1,882","4,020","3,947","7,706",0,"14,239","14,217",(22),"8,175","7,144","13,944","13,858","1,420",91.03%,90.46%,"14,225","14,171","2,180","2,123","4,578","4,457","14,582","1,114"
07/31/2026,01-HC,BEDHOLDS,0,24,24,0,0,0,24,0,42,36,6,20,12,42,24,0,"6,969","6,936",(33),"7,709",0,"6,969","6,936",770,90.40%,89.97%,"6,935","6,918","1,912","1,882","4,020","3,947","7,706",0,"14,239","14,217",(22),"8,175","7,144","13,944","13,858","1,420",91.03%,90.46%,"14,225","14,171","2,180","2,123","4,578","4,457","14,582","1,114"
07/31/2026,01-HC,CONVERSIONS,12,8,(4),0,0,0,8,0,8,9,3,2,3,5,8,0,"6,969","6,936",(33),"7,709",0,"6,969","6,936",770,90.40%,89.97%,"6,935","6,918","1,912","1,882","4,020","3,947","7,706",0,"14,239","14,217",(22),"8,175","7,144","13,944","13,858","1,420",91.03%,90.46%,"14,225","14,171","2,180","2,123","4,578","4,457","14,582","1,114"
07/31/2026,01-HC,UNOCCUPIED,0,0,0,0,0,0,0,770,0,0,0,0,0,0,770,0,"6,969","6,936",(33),"7,709",0,"6,969","6,936",770,90.40%,89.97%,"6,935","6,918","1,912","1,882","4,020","3,947","7,706",0,"14,239","14,217",(22),"8,175","7,144","13,944","13,858","1,420",91.03%,90.46%,"14,225","14,171","2,180","2,123","4,578","4,457","14,582","1,114"
07/31/2026,02-HC Legacy,PRIVATE PAY,118,129,11,466,0,425,129,0,128,126,5,5,12,15,129,0,424,444,20,466,0,425,444,22,91.21%,95.28%,442,441,31,35,69,69,466,0,"14,239","14,217",(22),"8,175","7,144","13,944","13,858","1,420",91.03%,90.46%,"14,225","14,171","2,180","2,123","4,578","4,457","14,582","1,114"
