upload_month,date,region,division,location,service_line,lead_source,inquiry_count,tour_count,conversion_count,conversion_rate,days_to_tour,days_to_move_in
2026-05,2026-05-31,"","",Anderson HC,HC,RE-Hospital,99,0,25,25.25,0,0
2026-05,2026-05-31,"","",Anderson HC,HC,WEB-Organic Search,1,0,0,0,0,0
2026-05,2026-05-31,"","",Anderson HC,HC/MC,AD-Community Sign,1,0,1,100,0,0
2026-05,2026-05-31,"","",Anderson HC,HC/MC,RE-Sister Community,1,0,1,100,0,0
2026-05,2026-05-31,"","",Anderson HC,HC/MC,WEB-Google Search,1,0,0,0,0,0
2026-05,2026-05-31,"","",Anderson SL,AL,RE-Friends/Family,1,0,0,0,0,0
2026-05,2026-05-31,"","",Anderson SL,AL,RE-Sister Community,1,1,2,50,0,0
2026-05,2026-05-31,"","",Anderson SL,AL,WEB-Google Paid,3,0,0,0,0,0
2026-05,2026-05-31,"","",Anderson SL,AL,WEB-Google Search,1,0,0,0,0,0
2026-05,2026-05-31,"","",Anderson SL,AL,WEB-Organic Search,2,0,0,0,0,0
2026-05,2026-05-31,"","",Anderson SL,AL/MC,RE-Sister Community,0,1,2,66.67,0,0
2026-05,2026-05-31,"","",Anderson SL,AL/MC,WEB-Google Search,1,1,1,33.33,0,0
2026-05,2026-05-31,"","",Anderson SL,VIL,RE-Church,1,0,0,0,0,0
2026-05,2026-05-31,"","",Anderson SL,VIL,RE-Sister Community,2,0,0,0,0,0
2026-05,2026-05-31,"","",Anderson SL,VIL,WEB-Google Paid,1,0,0,0,0,0
2026-05,2026-05-31,"","",Anderson SL,VIL,WEB-Google Search,4,1,0,0,0,0
2026-05,2026-05-31,"","",Ashland HC,HC,MatrixCare Import,8,0,8,100,0,0
2026-05,2026-05-31,"","",Ashland HC,HC,RE-Hospital,6,0,2,33.33,0,0
2026-05,2026-05-31,"","",Avon HC,HC,RE-Hospital,126,0,39,30.95,0,0
2026-05,2026-05-31,"","",Avon HC,HC,RE-Sister Community,3,0,2,66.67,0,0
2026-05,2026-05-31,"","",Avon HC,HC,WEB-Bing Search,1,0,0,0,0,0
2026-05,2026-05-31,"","",Avon HC,HC,WEB-Google Paid,1,0,1,100,0,0
2026-05,2026-05-31,"","",Avon HC,HC,WEB-Organic Search,1,0,0,0,0,0
2026-05,2026-05-31,"","",Avon SL,AL,RE-Community Organization,0,0,1,100,0,0
2026-05,2026-05-31,"","",Avon SL,AL,RE-Friends/Family,0,0,1,100,0,0
2026-05,2026-05-31,"","",Avon SL,AL,RE-Sister Community,0,0,3,100,0,0
2026-05,2026-05-31,"","",Avon SL,AL,WEB-Facebook Paid,1,0,0,0,0,0
2026-05,2026-05-31,"","",Avon SL,AL,WEB-Google Paid,3,0,0,0,0,0
2026-05,2026-05-31,"","",Avon SL,AL,WEB-Google Search,4,1,0,0,0,0
2026-05,2026-05-31,"","",Avon SL,AL/MC,RE-Friends/Family,0,1,0,0,0,0
2026-05,2026-05-31,"","",Avon SL,AL/MC,RE-Sister Community,0,2,0,0,0,0
2026-05,2026-05-31,"","",Avon SL,AL/MC,WEB-Bing Search,1,0,0,0,0,0
2026-05,2026-05-31,"","",Avon SL,AL/MC,WEB-Google Paid,1,0,0,0,0,0
2026-05,2026-05-31,"","",Avon SL,AL/MC,WEB-Google Search,2,0,0,0,0,0
2026-05,2026-05-31,"","",Avon SL,AL/MC,WEB-Organic Search,1,0,0,0,0,0
2026-05,2026-05-31,"","",Bardstown SL,AL,PR-Event,1,0,0,0,0,0
2026-05,2026-05-31,"","",Bardstown SL,AL,RE-Friends/Family,2,1,0,0,0,0
2026-05,2026-05-31,"","",Bardstown SL,AL,WEB-Google Business Profile,6,1,0,0,0,0
2026-05,2026-05-31,"","",Bardstown SL,AL,WEB-Google Paid,2,3,0,0,0,0
2026-05,2026-05-31,"","",Bardstown SL,AL,WEB-Google Search,1,1,0,0,0,0
2026-05,2026-05-31,"","",Bardstown SL,AL,WEB-Organic Search,2,0,0,0,0,0
2026-05,2026-05-31,"","",Bardstown SL,AL/MC,RE-Sister Community,1,0,0,0,0,0
2026-05,2026-05-31,"","",Bardstown SL,AL/MC,WEB-Organic Search,0,0,1,100,0,0
2026-05,2026-05-31,"","",Batesville HC,HC,RE-Friends/Family,1,0,1,100,0,0
2026-05,2026-05-31,"","",Batesville HC,HC,RE-Hospice,1,0,1,100,0,0
2026-05,2026-05-31,"","",Batesville HC,HC,RE-Hospital,14,0,6,42.86,0,0
2026-05,2026-05-31,"","",Batesville HC,HC,RE-Physician,1,0,1,100,0,0
2026-05,2026-05-31,"","",Batesville HC,HC,RE-Sister Community,3,0,3,100,0,0
2026-05,2026-05-31,"","",Batesville HC,HC,WEB-Google Search,1,0,1,100,0,0
2026-05,2026-05-31,"","",Batesville SL,AL,WEB-Facebook Paid,1,0,0,0,0,0
2026-05,2026-05-31,"","",Batesville SL,AL,WEB-Google Paid,2,0,0,0,0,0
2026-05,2026-05-31,"","",Batesville SL,AL,WEB-Google Search,1,0,0,0,0,0
2026-05,2026-05-31,"","",Batesville SL,AL,WEB-Organic Search,2,0,0,0,0,0
2026-05,2026-05-31,"","",Batesville SL,AL/MC,WEB-Google Paid,1,0,0,0,0,0
2026-05,2026-05-31,"","",Batesville SL,AL/MC,WEB-Google Search,2,0,0,0,0,0
2026-05,2026-05-31,"","",Batesville SL,VIL,WEB-Google Paid,1,0,0,0,0,0
2026-05,2026-05-31,"","",Battle Creek HC,HC,AD-Community Sign,1,0,0,0,0,0
2026-05,2026-05-31,"","",Battle Creek HC,HC,RE-Friends/Family,1,0,1,100,0,0
2026-05,2026-05-31,"","",Battle Creek HC,HC,RE-Hospital,66,0,11,16.67,0,0
2026-05,2026-05-31,"","",Battle Creek HC,HC,RE-Sister Community,2,0,1,50,0,0
2026-05,2026-05-31,"","",Battle Creek HC,HC,WEB-Facebook,1,0,0,0,0,0
2026-05,2026-05-31,"","",Battle Creek SL,AL,RE-Sister Community,0,0,1,100,0,0
2026-05,2026-05-31,"","",Battle Creek SL,AL,WEB-Facebook,1,0,0,0,0,0
2026-05,2026-05-31,"","",Battle Creek SL,AL,WEB-Google Paid,4,0,0,0,0,0
2026-05,2026-05-31,"","",Battle Creek SL,AL,WEB-Google Search,3,0,0,0,0,0
2026-05,2026-05-31,"","",Battle Creek SL,AL,WEB-Organic Search,1,0,0,0,0,0
2026-05,2026-05-31,"","",Battle Creek SL,VIL,WEB-Google Paid,1,0,0,0,0,0
2026-05,2026-05-31,"","",Bedford HC,HC,RE-Hospital,47,0,22,46.81,0,0
2026-05,2026-05-31,"","",Bedford HC,HC,RE-Sister Community,2,0,1,50,0,0
2026-05,2026-05-31,"","",Bedford HC,HC,WEB-Google Paid,1,0,0,0,0,0
2026-05,2026-05-31,"","",Bedford SL,AL,RE-Sister Community,1,0,0,0,0,0
2026-05,2026-05-31,"","",Bedford SL,AL,WEB-Bing Search,1,0,0,0,0,0
2026-05,2026-05-31,"","",Bedford SL,AL,WEB-Google Paid,3,0,0,0,0,0
2026-05,2026-05-31,"","",Bedford SL,AL,WEB-Google Search,1,1,0,0,0,0
2026-05,2026-05-31,"","",Bedford SL,AL/MC,RE-Church,1,0,0,0,0,0
2026-05,2026-05-31,"","",Bedford SL,AL/MC,WEB-Google Search,1,0,0,0,0,0
2026-05,2026-05-31,"","",Bedford SL,AL/MC,WEB-Organic Search,2,0,0,0,0,0
2026-05,2026-05-31,"","",Bellevue HC,HC,RE-Hospital,68,0,13,19.12,0,0
2026-05,2026-05-31,"","",Bellevue HC,HC,RE-Medical Professional,4,0,2,50,0,0
2026-05,2026-05-31,"","",Bellevue HC,HC,RE-Sister Community,4,0,4,100,0,0
2026-05,2026-05-31,"","",Bellevue SL,AL,RE-Medical Professional,2,1,0,0,0,0
2026-05,2026-05-31,"","",Bellevue SL,AL,WEB-Google Search,3,0,0,0,0,0
2026-05,2026-05-31,"","",Bellevue SL,AL/MC,WEB-Google Paid,3,2,0,0,0,0
2026-05,2026-05-31,"","",Bellevue SL,AL/MC,WEB-Organic Search,1,1,0,0,0,0
2026-05,2026-05-31,"","",Bellevue SL,VIL,WEB-Google Paid,4,0,0,0,0,0
2026-05,2026-05-31,"","",Bellevue SL,VIL,WEB-Google Search,1,0,0,0,0,0
2026-05,2026-05-31,"","",Bellevue SL,VIL,WEB-Organic Search,2,0,0,0,0,0
2026-05,2026-05-31,"","",Belmont HC,HC,AD- Senior Guide,2,0,2,100,0,0
2026-05,2026-05-31,"","",Belmont HC,HC,AD-Billboard,1,0,1,100,0,0
2026-05,2026-05-31,"","",Belmont HC,HC,RE-Hospital,173,0,42,24.28,0,0
2026-05,2026-05-31,"","",Belmont HC,HC,RE-Sister Community,1,0,0,0,0,0
2026-05,2026-05-31,"","",Belmont SL,AL,AD-Billboard,1,0,0,0,0,0
2026-05,2026-05-31,"","",Belmont SL,AL,RE-Sister Community,1,0,0,0,0,0
2026-05,2026-05-31,"","",Belmont SL,AL,WEB-Bing Search,2,0,0,0,0,0
2026-05,2026-05-31,"","",Belmont SL,AL,WEB-Facebook Paid,2,0,0,0,0,0
2026-05,2026-05-31,"","",Belmont SL,AL,WEB-Google Paid,4,0,0,0,0,0
2026-05,2026-05-31,"","",Belmont SL,AL,WEB-Google Search,1,0,0,0,0,0
2026-05,2026-05-31,"","",Belmont SL,AL,WEB-Organic Search,1,2,0,0,0,0
2026-05,2026-05-31,"","",Belmont SL,AL/MC,RE-Sister Community,1,1,1,33.33,0,0
2026-05,2026-05-31,"","",Belmont SL,AL/MC,WEB-Facebook Paid,1,0,0,0,0,0
2026-05,2026-05-31,"","",Belmont SL,AL/MC,WEB-Google Paid,1,0,0,0,0,0
2026-05,2026-05-31,"","",Belmont SL,AL/MC,WEB-Google Search,1,1,0,0,0,0
2026-05,2026-05-31,"","",Belmont SL,AL/MC,WEB-Organic Search,0,1,0,0,0,0
2026-05,2026-05-31,"","",Belmont SL,SL,AD-Billboard,1,2,0,0,0,0
2026-05,2026-05-31,"","",Belmont SL,SL,RE-Sister Community,1,0,0,0,0,0
2026-05,2026-05-31,"","",Belmont SL,SL,WEB-Google Paid,3,0,0,0,0,0
2026-05,2026-05-31,"","",Belmont SL,SL,WEB-Google Search,3,1,0,0,0,0
2026-05,2026-05-31,"","",Belmont SL,SL,WEB-Organic Search,0,2,0,0,0,0
2026-05,2026-05-31,"","",Bloomington HS HC,HC,RE-Employee,1,0,1,100,0,0
2026-05,2026-05-31,"","",Bloomington HS HC,HC,RE-Friends/Family,1,0,0,0,0,0
2026-05,2026-05-31,"","",Bloomington HS HC,HC,RE-Hospital,101,0,29,28.71,0,0
2026-05,2026-05-31,"","",Bloomington HS HC,HC,WEB-Google Paid,2,0,0,0,0,0
2026-05,2026-05-31,"","",Bloomington HS HC,HC,WEB-Google Search,1,0,1,100,0,0
2026-05,2026-05-31,"","",Bloomington HS SL,AL,AD-Community Sign,0,1,0,0,0,0
2026-05,2026-05-31,"","",Bloomington HS SL,AL,PR-Event,1,0,0,0,0,0
2026-05,2026-05-31,"","",Bloomington HS SL,AL,RE - Independent Living,0,1,0,0,0,0
2026-05,2026-05-31,"","",Bloomington HS SL,AL,RE-Sister Community,2,0,0,0,0,0
2026-05,2026-05-31,"","",Bloomington HS SL,AL,WEB-Google Paid,3,0,0,0,0,0
2026-05,2026-05-31,"","",Bloomington HS SL,AL,WEB-Google Search,0,1,0,0,0,0
2026-05,2026-05-31,"","",Bloomington HS SL,AL,WEB-Organic Search,4,2,0,0,0,0
2026-05,2026-05-31,"","",Bloomington HS SL,AL/MC,WEB-Google Search,2,1,0,0,0,0
2026-05,2026-05-31,"","",Bloomington SC HC,HC,RE-Friends/Family,4,0,3,75,0,0
2026-05,2026-05-31,"","",Bloomington SC HC,HC,RE-Hospital,96,0,20,20.83,0,0
2026-05,2026-05-31,"","",Bloomington SC HC,HC,RE-Sister Community,10,0,4,40,0,0
2026-05,2026-05-31,"","",Bloomington SC HC,HC,RE-Third Party Referral,3,0,3,100,0,0
2026-05,2026-05-31,"","",Bloomington SC SL,AL,PR-Event,16,0,0,0,0,0
2026-05,2026-05-31,"","",Bloomington SC SL,AL,RE-Friends/Family,2,1,0,0,0,0
2026-05,2026-05-31,"","",Bloomington SC SL,AL,RE-Sister Community,2,1,0,0,0,0
2026-05,2026-05-31,"","",Bloomington SC SL,AL,WEB-Google Paid,1,1,0,0,0,0
2026-05,2026-05-31,"","",Bloomington SC SL,AL,WEB-Google Search,3,2,0,0,0,0
2026-05,2026-05-31,"","",Bloomington SC SL,AL/MC,RE-Friends/Family,1,1,0,0,0,0
2026-05,2026-05-31,"","",Bloomington SC SL,AL/MC,RE-Sister Community,1,0,0,0,0,0
2026-05,2026-05-31,"","",Bloomington SC SL,AL/MC,WEB-Google Search,0,1,0,0,0,0
2026-05,2026-05-31,"","",Bloomington SC SL,SL,RE-Friends/Family,1,0,0,0,0,0
2026-05,2026-05-31,"","",Boonville HC,HC,RE-Friends/Family,1,0,1,100,0,0
2026-05,2026-05-31,"","",Boonville HC,HC,RE-Hospital,42,0,5,11.9,0,0
2026-05,2026-05-31,"","",Boonville HC,HC,WEB-Organic Search,1,0,0,0,0,0
2026-05,2026-05-31,"","",Boonville SL,AL,RE-Sister Community,1,0,1,50,0,0
2026-05,2026-05-31,"","",Boonville SL,AL,WEB-Facebook Paid,1,0,0,0,0,0
2026-05,2026-05-31,"","",Boonville SL,AL,WEB-Google Paid,3,0,0,0,0,0
2026-05,2026-05-31,"","",Boonville SL,AL,WEB-Organic Search,1,0,0,0,0,0
2026-05,2026-05-31,"","",Boonville SL,AL/MC,RE-Sister Community,0,0,1,100,0,0
2026-05,2026-05-31,"","",Bowling Green HC,HC,RE-Hospital,91,0,30,32.97,0,0
2026-05,2026-05-31,"","",Bowling Green HC,HC,RE-Sister Community,5,0,3,60,0,0
2026-05,2026-05-31,"","",Bowling Green SL,AL,WEB-Bing Search,1,0,0,0,0,0
2026-05,2026-05-31,"","",Bowling Green SL,AL,WEB-Google Paid,1,0,0,0,0,0
2026-05,2026-05-31,"","",Bowling Green SL,AL,WEB-Google Search,2,0,0,0,0,0
