Date,Region,Division,Location,Unit ID,Service Line,Room Type,Market Rate,Current Rate,Occupancy Status,Days Vacant,Attribute (A/B/C),Square Footage,Last Renovated,Floor Number,Notes
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-001,IL,Studio,3739,3711,Occupied,0,B,550,01/01/2016,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-002,IL,Studio,3564,3503,Occupied,0,A,550,01/01/2015,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-003,IL,Studio,3446,3401,Occupied,0,B,550,01/01/2017,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-004,IL,Studio,3497,3465,Occupied,0,B,550,01/01/2017,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-005,IL,Studio,3496,3297,Occupied,0,A,550,01/01/2022,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-006,IL,Studio,3452,3267,Occupied,0,B,550,01/01/2015,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-007,IL,Studio,3636,3383,Occupied,0,A,550,01/01/2021,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-008,IL,Studio,3370,3287,Occupied,0,A,550,01/01/2018,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-009,IL,Studio,3346,3243,Occupied,0,A,550,01/01/2017,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-010,IL,Studio,3524,3330,Occupied,0,A,550,01/01/2020,3,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-011,IL,Studio,3562,3468,Occupied,0,B,550,01/01/2018,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-012,IL,Studio,3464,3308,Occupied,0,A,550,01/01/2018,2,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-013,IL,Studio,3720,3587,Occupied,0,A,550,01/01/2020,1,
10/01/2024,North,Northeast,Sunrise Valley Senior Living,SUNRISE-IL-014,IL,1 Bedroom,3945,3634,Occupied,0,B,750,01/01/2022,2,
